timestamps,TP9,AF7,AF8,TP10,Right AUX
1709720527.312,-54.199,-56.641,-45.410,-60.059,0.000
1709720527.316,-57.129,-54.199,-44.434,-78.613,0.000
1709720527.320,-66.406,-51.270,-33.691,-83.008,0.000
1709720527.324,-85.938,-58.594,-40.527,-86.914,0.000
1709720527.328,-77.148,-50.781,-46.387,-71.289,0.000
1709720527.332,-56.152,-35.645,-34.668,-53.711,0.000
1709720527.336,-63.477,-43.457,-28.320,-83.496,0.000
1709720527.340,-90.332,-47.363,-31.738,-115.723,0.000
1709720527.344,-89.355,-42.969,-33.691,-109.863,0.000
1709720527.348,-56.641,-32.715,-20.020,-71.777,0.000
1709720527.351,-46.387,-25.879,-21.484,-51.270,0.000
1709720527.355,-70.312,-39.062,-35.645,-71.777,0.000
1709720527.359,-87.891,-47.363,-35.156,-104.980,0.000
1709720527.363,-56.152,-34.668,-20.996,-87.402,0.000
1709720527.367,-45.898,-32.227,-17.578,-65.918,0.000
1709720527.371,-73.242,-47.852,-33.691,-96.680,0.000
1709720527.375,-68.848,-46.387,-38.086,-101.562,0.000
1709720527.379,-70.801,-43.945,-27.832,-105.469,0.000
1709720527.383,-83.496,-40.527,-25.879,-115.234,0.000
1709720527.387,-83.984,-39.062,-37.598,-100.098,0.000
1709720527.391,-70.312,-35.645,-29.785,-76.172,0.000
1709720527.394,-68.848,-34.180,-21.973,-79.102,0.000
1709720527.398,-85.938,-40.039,-26.367,-101.562,0.000
1709720527.402,-110.352,-34.668,-27.832,-117.676,0.000
1709720527.406,-102.051,-30.762,-21.484,-104.004,0.000
1709720527.410,-76.660,-26.855,-10.742,-73.730,0.000
1709720527.414,-96.191,-28.320,-20.020,-94.238,0.000
1709720527.418,-107.422,-39.551,-30.273,-128.906,0.000
1709720527.422,-98.633,-36.133,-23.926,-130.859,0.000
1709720527.426,-91.309,-18.555,-19.531,-114.746,0.000
1709720527.430,-90.820,-25.879,-24.414,-103.516,0.000
1709720527.434,-85.449,-36.621,-23.926,-94.238,0.000
1709720527.437,-81.543,-32.715,-21.973,-109.375,0.000
1709720527.441,-88.379,-29.785,-20.508,-118.164,0.000
1709720527.445,-61.523,-23.926,-14.160,-86.426,0.000
1709720527.449,-44.434,-30.762,-23.438,-64.453,0.000
1709720527.453,-41.992,-30.273,-25.391,-54.688,0.000
