timestamps,PPG1,PPG2,PPG3
1709721354.680,2959.000,120591.000,65743.000
1709721354.696,2957.000,120722.000,65757.000
1709721354.711,2957.000,120690.000,65759.000
1709721354.727,2955.000,120606.000,65750.000
1709721354.742,2954.000,120638.000,65753.000
1709721354.758,2950.000,120629.000,65755.000
1709721354.774,2951.000,120693.000,65762.000
1709721354.789,2955.000,120598.000,65757.000
1709721354.805,2954.000,120636.000,65767.000
1709721354.821,2953.000,120706.000,65741.000
1709721354.836,2955.000,120657.000,65729.000
1709721354.852,2951.000,120660.000,65739.000
1709721354.867,2956.000,120662.000,65771.000
1709721354.883,2956.000,120628.000,65742.000
1709721354.899,2953.000,120638.000,65769.000
1709721354.914,2955.000,120669.000,65755.000
1709721354.930,2958.000,120638.000,65765.000
1709721354.946,2952.000,120658.000,65768.000
1709721354.961,2953.000,120629.000,65742.000
1709721354.977,2959.000,120661.000,65753.000
1709721354.992,2961.000,120664.000,65748.000
1709721355.008,2955.000,120668.000,65734.000
1709721355.024,2953.000,120693.000,65717.000
1709721355.039,2962.000,120667.000,65739.000
1709721355.055,2958.000,120666.000,65736.000
1709721355.071,2963.000,120556.000,65717.000
1709721355.086,2963.000,120574.000,65732.000
1709721355.102,2956.000,120708.000,65728.000
1709721355.117,2965.000,120654.000,65722.000
1709721355.133,2962.000,120665.000,65709.000
1709721355.149,2961.000,120711.000,65766.000
1709721355.164,2960.000,120653.000,65748.000
1709721355.180,2966.000,120703.000,65725.000
1709721355.196,2961.000,120657.000,65751.000
1709721355.211,2958.000,120713.000,65746.000
1709721355.227,2962.000,120739.000,65754.000
1709721355.242,2970.000,120679.000,65752.000
